rank,name,symbol,slug,price_usd,change_1h_pct,change_24h_pct,change_7d_pct,market_cap_usd,volume_24h_usd,circulating_supply,total_supply,max_supply,date_snapshot,fdv_usd,liq_mkt_cap_pct
1,Bitcoin,BTC,bitcoin,63961.23603470212,0.06670301,-1.44811581,0.24111596,1283608815695.569,21470053547.68476,20068543.0,20068543.0,21000000.0,2026-08-11,1343185956728.74,1.6726
2,Ethereum,ETH,ethereum,1874.120003253242,0.12417369,-2.02895791,0.45330427,226172617115.47803,8475660781.744837,120682035.68761347,120682035.68761347,,2026-08-11,226172617115.48,3.7474
3,Tether USDt,USDT,tether,0.9989749382754278,-0.00246379,-0.03146343,-0.0070968,183058102650.92514,46328950340.70617,183245941051.28,189097135665.1564,,2026-08-11,188920291946.7,25.3101
4,BNB,BNB,bnb,599.6359580641371,0.09936555,-0.68042045,1.59472236,79850102388.57487,1033980944.2271328,133164299.63,133164299.63,133164300.89,2026-08-11,79846267929.17,1.2946
5,USDC,USDC,usd-coin,0.9998276439552831,-0.00363162,-0.00658836,-0.00281397,72232915398.39061,7765203373.129119,72245367324.15172,72245367324.15172,,2026-08-11,72233096133.53,10.7615
6,XRP,XRP,xrp,1.0129547074744334,0.1812046,-1.60665246,-5.88125086,63343372200.596214,1161385855.9339256,62533271955.0,99985635707.0,100000000000.0,2026-08-11,101262089154.21,1.8334
7,Solana,SOL,solana,75.84131032880401,-0.01342664,-0.79718064,3.1882796,44176188359.813805,1447940224.418599,582481871.2689883,632009924.6112511,,2026-08-11,47926487014.61,3.2781
8,TRON,TRX,tron,0.3307513162116423,-0.00130506,0.12563448,0.56228122,31387722631.51376,865330009.5572199,94898254649.51219,94898253069.33458,,2026-08-11,31389648005.71,2.7567
9,Hyperliquid,HYPE,hyperliquid,55.264757552448096,0.69314104,2.38906969,2.30547658,13964375557.892242,233885085.615711,252681386.4086816,952715395.9577329,952715425.9651502,2026-08-11,52651587032.44,1.6749
10,Dogecoin,DOGE,dogecoin,0.06994608037097814,0.31439788,0.53617392,-0.46353142,11971547461.741524,344752818.0009645,171153943126.5791,171153943126.5791,,2026-08-11,11971190675.52,2.8795
11,UNUS SED LEO,LEO,unus-sed-leo,9.628915202618755,-0.17601212,-0.93357352,-1.24990907,8858676262.898235,203540.01932443,920007713.9,985239504.0,,2026-08-11,9486787638.29,0.0023
12,Zcash,ZEC,zcash,489.90265003913333,-1.07416224,-3.7321166,1.55832961,8237479457.944795,293003521.54226255,16814523.1655448,16814523.1655448,21000000.0,2026-08-11,10287955650.82,3.557
13,Monero,XMR,monero,398.7007158733813,0.72584404,0.55637274,10.05936948,7491457908.109443,92340768.22594401,18789677.59488189,18789677.59488189,,2026-08-11,7493076323.43,1.2322
14,Cardano,ADA,cardano,0.19057748182497622,0.42210328,-2.39334901,-0.88228327,6965667984.974258,238997166.8895474,36550320207.14511,44994536314.439804,45000000000.0,2026-08-11,8569419700.79,3.4322
15,Chainlink,LINK,chainlink,8.412187445632053,1.09339104,2.89276611,2.66999136,6293157179.285919,231382742.30571353,748099970.424884,1000000000.0,1000000000.0,2026-08-11,8405391970.63,3.6861
16,Stellar,XLM,stellar,0.16171262475503476,0.12770941,-0.38302429,-5.30778899,5576794645.298804,74941368.72888488,34485833457.63285,50001786839.912476,50001806812.0,2026-08-11,8085179783.43,1.3441
17,Dai,DAI,multi-collateral-dai,0.9995924379068231,0.02754211,-0.00528421,-0.00162755,4579516733.899515,26670980.87027534,4581383932.32462,4581383932.32462,,2026-08-11,4579516733.9,0.5824
18,Bitcoin Cash,BCH,bitcoin-cash,214.620521840719,0.37869966,-0.09021535,1.13775664,4308211872.734903,145634714.48582253,20073625.0,20073625.0,21000000.0,2026-08-11,4507275278.44,3.3821
19,World Liberty Financial USD,USD1,usd1,0.9993068795402977,0.00417126,-0.04871721,0.03071186,3993600533.97988,779326380.4907016,3996370500.1380763,3996370500.1380763,,2026-08-11,3993443856.76,19.5166
20,Ethena USDe,USDe,ethena-usde,0.9997062270368904,0.00737382,-0.00999492,-0.00492615,3921527900.8156104,24203296.55370504,3922680278.224276,3922680278.224276,,2026-08-11,3921440766.59,0.6178
21,Canton,CC,canton-network,0.09712968501540577,-0.08299083,-3.38184501,-15.66744014,3818151967.2141147,20427649.04665281,39309835778.92296,39309835778.92296,,2026-08-11,3817445846.65,0.5351
22,Gram (prev. Toncoin),GRAM,gram,1.3319879312893774,0.41146601,0.08406136,-3.15594758,3669537709.096554,33366489.43326573,2754933151.3419986,5229199796.7689705,,2026-08-11,6963482840.94,0.9092
23,Litecoin,LTC,litecoin,45.1751687880745,0.2332256,-0.77978334,2.14484988,3500240307.8754654,146668473.6874918,77481510.34688488,84000000.0,84000000.0,2026-08-11,3794544959.21,4.1902
24,Global Dollar,USDG,global-dollar-usdg,0.9997109419942483,-0.02338845,-0.01326839,0.01504957,3474411256.1039386,316842360.9156952,3475415852.87953,3475415852.87953,,2026-08-11,3474638812.71,9.1186
25,Hedera,HBAR,hedera,0.06752451941585819,0.10818263,-1.65483309,-4.13242802,2956972728.27715,25447236.33938716,43791096239.66761,50000000000.0,50000000000.0,2026-08-11,3374579315.02,0.8611
26,Avalanche,AVAX,avalanche,6.514981458821217,0.66536774,0.97606267,-4.57095278,2812986321.50841,184680825.29030257,431771961.1772119,463441061.1772119,715748719.0,2026-08-11,4657650870.6,6.5633
27,Sui,SUI,sui,0.6869794652733178,0.29447671,-0.27300001,-0.77037065,2799118362.627754,159679722.74380654,4074529886.4415293,10000000000.0,10000000000.0,2026-08-11,6862851340.36,5.7106
28,PayPal USD,PYUSD,paypal-usd,0.9997692139971829,0.00092943,0.00131983,0.02252205,2795948324.474074,129518522.8193526,2796593739.164639,2796593739.164639,,2026-08-11,2795968986.83,4.6315
29,Tether Gold,XAUt,tether-gold,4392.860645883117,0.17733476,2.22312879,8.77026151,2692048936.824197,217252499.71570057,612823.659532,707747.089,,2026-08-11,3108213716.38,8.0849
30,Shiba Inu,SHIB,shiba-inu,4.495958541174828e-06,-0.02651549,-2.88354631,-10.32264806,2649196843.2837152,69946583.98014142,589239606865115.8,589496325248962.9,589552695333683.0,2026-08-11,2650574864.82,2.6399
31,Uniswap,UNI,uniswap,3.960013624483249,0.47125895,-2.01242889,1.06077083,2472428264.3840075,121773131.59405218,624348423.7271129,891596420.0329479,,2026-08-11,3530101812.73,4.9255
32,Bittensor,TAO,bittensor,199.1786106017861,0.05186531,-2.06694484,4.54970426,2234835320.578702,133557430.76047495,11220257.60610794,21000000.0,21000000.0,2026-08-11,4180782335.35,5.976
33,Cronos,CRO,cronos,0.046810000510292035,-0.13319231,-2.78794804,-15.52659929,2214779862.6874337,4866671.41233089,47314245642.88295,98847584098.11159,100000000000.0,2026-08-11,4680022709.55,0.2198
34,NEAR Protocol,NEAR,near-protocol,1.6029281091971475,-0.00523243,-0.15950774,-8.18740897,2089016436.6022162,155595298.1783986,1303250236.0,1303250236.0,,2026-08-11,2087870530.29,7.4547
35,OKB,OKB,okb,95.01552517251511,0.39425447,1.6634776,10.15330079,1995326028.6228173,30104316.23942818,21000000.0,21000000.0,21000000.0,2026-08-11,1996136735.6,1.51
36,PAX Gold,PAXG,pax-gold,4410.912472446732,0.17015358,2.36078652,9.00815175,1925602533.598032,199337271.47804695,436554.238069,436554.238069,,2026-08-11,1925163996.19,10.3478
37,World Liberty Financial,WLFI,world-liberty-financial-wlfi,0.055920171861472315,0.22701898,5.30026537,0.92185443,1776925198.5015433,41996872.50032415,31776104031.0,100000000000.0,100000000000.0,2026-08-11,5586480295.52,2.3656
38,Ondo,ONDO,ondo-finance,0.3399379284476089,0.38568734,-2.31379884,-8.51087732,1655270173.067635,70105407.3006451,4869330647.0,10000000000.0,10000000000.0,2026-08-11,3397162194.56,4.2387
39,Aster,ASTER,aster,0.6017716991685701,0.10627416,-1.46077928,-0.71402019,1624801096.2888737,47012291.1376137,2700029094.9769797,7811132707.317226,8000000000.0,2026-08-11,4814749756.24,2.883
40,USDD,USDD,usdd,0.9991358656462832,0.0154673,-0.00713072,-0.2655772,1556492141.3875592,102450315.7890471,1557838323.0,1557838323.0,,2026-08-11,1556268155.0,6.5824
41,Ripple USD,RLUSD,ripple-usd,1.0000435610124805,0.00396232,0.02077627,0.00419308,1554061190.96496,113162835.55196217,1553993497.4348235,1553993497.4348235,,2026-08-11,1554072851.21,7.2811
