rank,name,symbol,slug,price_usd,change_1h_pct,change_24h_pct,change_7d_pct,market_cap_usd,volume_24h_usd,circulating_supply,total_supply,max_supply,date_snapshot,fdv_usd,liq_mkt_cap_pct
1,Bitcoin,BTC,bitcoin,78689.27485985815,0.37803318,1.12381167,-2.27882884,1579925700003.7527,30101569326.204536,20078031.0,20078031.0,21000000.0,2026-09-01,1652370417365.14,1.9052
2,Ethereum,ETH,ethereum,2473.8485486024483,0.48675774,2.100217,-0.77113771,298546746422.2993,12661297075.784918,120681092.8627613,120681092.8627613,,2026-09-01,298546746422.3,4.241
3,Tether USDt,USDT,tether,0.9996875810341127,-0.0231384,-0.01044693,-0.01768075,183321546311.0775,62933853495.08521,183378837337.8042,189340270096.96674,,2026-09-01,189281116605.58,34.3298
4,BNB,BNB,bnb,693.464144615906,0.34804439,1.06908187,-3.11357705,92343323348.40936,1182329496.4414675,133162361.84,133162361.84,133162362.98,2026-09-01,92343324138.96,1.2804
5,XRP,XRP,xrp,1.388193601614922,1.13119638,2.45887053,-8.53177358,87101520172.04283,2096754202.4054103,62744504852.0,99985627691.0,100000000000.0,2026-09-01,138777366368.98,2.4079
6,USDC,USDC,usd-coin,1.0000191908912348,0.00216579,0.00665598,-0.00389553,73413451478.08784,13831968492.854235,73412042635.5623,73412042635.5623,,2026-09-01,73412555212.04,18.8389
7,Solana,SOL,solana,103.71688724729948,0.51233913,1.54799961,2.07735102,60695866419.28822,2871102590.519143,585207173.3946931,633267602.9749506,,2026-09-01,65680544575.12,4.7303
8,TRON,TRX,tron,0.33218193700501586,-0.03438214,-1.20249039,-3.73320369,31534008293.35492,549842937.3191513,94929930801.38118,94929928132.35158,,2026-09-01,31534007406.75,1.7437
9,Hyperliquid,HYPE,hyperliquid,84.28328949907198,0.24567945,4.62157519,4.42204089,21213418439.673862,1187371829.1475985,251691866.39194283,952056324.796703,952056512.5436888,2026-09-01,80242923112.39,5.5978
10,Zcash,ZEC,zcash,857.4710758476912,0.97576926,4.48358514,0.39029108,14446468964.083496,748182847.8411486,16847762.4155448,16847762.4155448,21000000.0,2026-09-01,18003078854.12,5.1774
