rank,name,symbol,slug,price_usd,change_1h_pct,change_24h_pct,change_7d_pct,market_cap_usd,volume_24h_usd,circulating_supply,total_supply,max_supply,date_snapshot,fdv_usd,liq_mkt_cap_pct
1,Bitcoin,BTC,bitcoin,77753.99476626916,0.37555647,-0.50021488,1.06289545,1561108706817.5754,22053061235.832874,20077537.0,20077537.0,21000000.0,2026-08-31,1632833890091.65,1.4127
2,Ethereum,ETH,ethereum,2420.5353046967216,0.56770631,-1.50065414,-0.36530568,292112974945.8164,14067612063.860334,120681146.18242115,120681146.18242115,,2026-08-31,292112974945.82,4.8158
3,Tether USDt,USDT,tether,0.9997808491103439,-0.00586072,-0.02143391,-0.0169135,183371270426.00888,54478037713.421616,183411465211.78317,189340270222.5857,,2026-08-31,189298776133.92,29.7091
4,BNB,BNB,bnb,685.6882399259865,0.42285836,-1.30947004,-1.50705969,91307914623.4487,1240171080.1925933,133162433.46,133162433.46,133162434.25,2026-08-31,91307915165.14,1.3582
5,XRP,XRP,xrp,1.3543515746288541,0.7694373,-2.7545548,-7.68761565,84978118945.61398,2427296853.262177,62744504852.0,99985627691.0,100000000000.0,2026-08-31,135435157462.89,2.8564
6,USDC,USDC,usd-coin,0.9998845254604737,-0.01430584,-0.0107033,-0.01620176,73902759130.90291,9602066259.09429,73911294003.54376,73911294003.54376,,2026-08-31,73902759130.9,12.9928
7,Solana,SOL,solana,101.9637567372257,0.60555314,-2.96155327,8.71955529,59661179107.825554,3131088631.810846,585121429.5838513,633173112.956153,,2026-08-31,64560709262.01,5.2481
8,TRON,TRX,tron,0.33630415184337015,0.10745015,-1.14290113,-2.04383742,31925000201.13462,444716044.6167311,94928950553.07948,94928945379.78389,,2026-08-31,31924998461.33,1.393
9,Hyperliquid,HYPE,hyperliquid,80.35116900153841,0.38406803,-3.02459204,0.7788408,20226154977.814896,891978398.3706882,251721975.28859404,952079033.3147684,952079443.0983038,2026-08-31,76500070546.0,4.4106
10,Zcash,ZEC,zcash,820.8939854703377,1.20788018,-1.26303918,-1.23837031,13828933311.856329,1343611714.9744124,16846186.6655448,16846186.6655448,21000000.0,2026-08-31,17238773694.88,9.7159
