rank,name,symbol,slug,price_usd,change_1h_pct,change_24h_pct,change_7d_pct,market_cap_usd,volume_24h_usd,circulating_supply,total_supply,max_supply,date_snapshot,fdv_usd,liq_mkt_cap_pct
1,Bitcoin,BTC,bitcoin,60711.17231975567,-0.11581671,-3.1139935,-5.51232337,1217118580069.5256,42324294182.21746,20047687.0,20047687.0,21000000.0,2026-06-25,1274873478123.9,3.4846
2,Ethereum,ETH,ethereum,1617.1382785317453,0.05972611,-2.81698936,-7.28197734,195162241632.4502,14472072738.342813,120683706.65843406,120683706.65843406,,2026-06-25,195162241632.45,7.4154
3,Tether USDt,USDT,tether,0.9983716268076266,-0.0030797,-0.031858,-0.04218797,186031991009.70538,78699067506.55717,186335414603.63574,193153431942.35147,,2026-06-25,192838906071.76,42.3041
4,BNB,BNB,bnb,564.9701844909172,-0.10771062,-1.95907449,-5.29188605,76148421404.36299,1341451148.9204907,134783079.7,134783079.7,134783079.7,2026-06-25,76146176783.17,1.7617
5,USDC,USDC,usd-coin,0.9996814667497964,-0.00359992,-0.00240251,0.01549598,73826497740.28497,13172466752.437212,73850021427.63792,73850021427.63792,,2026-06-25,73827059590.63,17.8256
6,XRP,XRP,xrp,1.0688712484428389,-0.32769328,-3.0192217,-9.40182519,66327630616.58526,2226801325.3701906,62053900985.0,99985653167.0,100000000000.0,2026-06-25,106882455981.85,3.3572
7,Solana,SOL,solana,67.56851772327843,-0.26942945,-2.51269454,-5.88115386,39224803653.6042,3190230969.596531,580518930.6393595,629077715.9104608,,2026-06-25,42518171481.86,8.1287
8,TRON,TRX,tron,0.3271080360023189,0.01148665,-0.55955881,1.96536859,31023823999.47856,889019765.1713917,94842744857.72226,94842736075.35437,,2026-06-25,31024008448.34,2.8656
9,Hyperliquid,HYPE,hyperliquid,63.02359715797867,-0.9084065,3.33277264,-12.07504201,15952295317.923073,692813448.628482,253116230.0675429,953722747.6426499,953722747.6426499,2026-06-25,60125161243.73,4.3379
10,Dogecoin,DOGE,dogecoin,0.07598888082442978,-0.34103711,-3.75639706,-11.10953589,11763195499.700006,961774097.9146683,154801536383.70523,154801536383.70523,,2026-06-25,11764772298.54,8.1726
11,UNUS SED LEO,LEO,unus-sed-leo,9.38874573665685,0.11814727,-1.43109331,-3.30966619,8640618910.45799,661813.63736989,920316637.9,985239504.0,,2026-06-25,9250038861.47,0.0077
12,Zcash,ZEC,zcash,410.18220147801327,-0.76465281,-0.43344399,-14.05692294,6866667004.484504,463355022.0673119,16740528.9155448,16740528.9155448,21000000.0,2026-06-25,8609793861.62,6.7474
13,Stellar,XLM,stellar,0.1856232017377577,-0.43849103,-3.13784566,-21.04082088,6297271099.691861,219118145.4637781,33925021445.263275,50001786839.91258,50001806812.0,2026-06-25,9286009770.2,3.4754
14,Canton,CC,canton-network,0.15258282647247934,0.20382215,0.06974182,-6.94205809,5934764026.230381,18064952.59522251,38895360398.24774,38895360398.24774,,2026-06-25,5933051921.95,0.3045
15,Monero,XMR,monero,308.9876172391835,-0.31406533,-3.25306733,-6.89467978,5799513038.6708,120818037.77931029,18769402.76924259,18769402.76924259,,2026-06-25,5800011363.2,2.0832
16,Chainlink,LINK,chainlink,7.395098240816927,-0.16193178,-2.36131305,-7.97846589,5376975712.192007,313658682.41184026,727099970.4255477,1000000000.0,1000000000.0,2026-06-25,7394803169.45,5.834
17,Dai,DAI,multi-collateral-dai,0.9995835824337658,-0.00753511,0.01227233,0.0104089,5363148463.057913,133417537.81031004,5365382702.664872,5365382702.664872,,2026-06-25,5363288073.84,2.4878
18,Cardano,ADA,cardano,0.1473296786134479,-0.19391999,-3.08516928,-11.73568047,5360438438.868157,665706922.2011852,36383968860.28956,44992912369.591576,45000000000.0,2026-06-25,6629529657.88,12.4194
19,World Liberty Financial USD,USD1,usd1,0.9987400978489145,-0.0049708,-0.02891384,-0.0964319,4694644245.481401,1122422048.2557738,4700566499.325221,4700566499.325221,,2026-06-25,4694808292.88,23.9364
20,Ethena USDe,USDe,ethena-usde,0.9981595546753117,-0.00337019,-0.06147107,-0.06110582,4474795328.987611,104236803.43842426,4483046130.278444,4483046130.278444,,2026-06-25,4474837266.57,2.3295
21,Gram (prev. Toncoin),GRAM,gram,1.5988911034167426,1.17931076,2.23500476,-4.04885687,4316252787.689771,80146767.61817548,2699528928.8095827,5203065813.441108,,2026-06-25,8319135639.6,1.8569
22,Bitcoin Cash,BCH,bitcoin-cash,190.52279779935998,-0.15548563,-2.05984047,-10.33494857,3820450662.8830056,159857238.6006043,20052459.375,20052459.375,21000000.0,2026-06-25,4002858732.37,4.1831
23,Hedera,HBAR,hedera,0.0745028907101368,-0.53464319,-3.60297811,-7.99026809,3238883785.75745,71518651.24281487,43473263317.51005,50000000000.0,50000000000.0,2026-06-25,3725144535.51,2.2081
24,Litecoin,LTC,litecoin,41.162354483897296,0.10516976,-1.54734933,-7.59574445,3182551644.1288466,261016101.7823725,77317045.73347135,84000000.0,84000000.0,2026-06-25,3457548005.72,8.2014
25,Global Dollar,USDG,global-dollar-usdg,0.9997674635723635,0.00196022,-0.0109219,0.01496256,2904396693.6368504,51670822.63598823,2905072228.754951,2905072228.754951,,2026-06-25,2904092335.74,1.7819
26,Avalanche,AVAX,avalanche,6.417863240189227,0.19910181,-0.06928772,-4.51279339,2771053397.7836385,321183752.49177986,431771961.1772119,463441061.1772119,715748719.0,2026-06-25,4591710460.96,11.5942
27,PayPal USD,PYUSD,paypal-usd,0.9996748341529587,0.01873384,0.01553575,0.02164758,2761145547.892749,103141843.90650858,2762043670.162322,2762043670.162322,,2026-06-25,2761171149.49,3.7263
28,Sui,SUI,sui,0.6783517562281437,0.03387376,-2.75382248,-11.00002168,2733212761.05135,389760703.61532885,4029196852.454399,10000000000.0,10000000000.0,2026-06-25,6783654268.09,14.2603
29,Shiba Inu,SHIB,shiba-inu,4.370931710570268e-06,-0.31805916,-3.85842683,-10.75885638,2575541560.0304112,81656193.91435139,589243147817192.6,589499816887323.0,589552695333683.0,2026-06-25,2576592114.27,3.1705
30,Cronos,CRO,cronos,0.055848954859405706,-0.38336425,-0.67717983,-5.81432774,2571186164.848909,8403066.46575834,46038214525.61859,98738215147.20877,100000000000.0,2026-06-25,5585645320.25,0.3268
31,NEAR Protocol,NEAR,near-protocol,1.935878329410113,-0.44242381,-1.47683526,-12.30451625,2514969653.313891,264183696.19671932,1299136219.0,1299136219.0,,2026-06-25,2514468246.28,10.5015
32,Tether Gold,XAUt,tether-gold,3967.5613348988663,-0.22783456,-1.92557243,-7.60593541,2431415456.67039,393757770.72285,612823.659532,707747.089,,2026-06-25,2808029985.2,16.1946
33,Bittensor,TAO,bittensor,219.38079760872242,0.07885602,0.18666266,-10.94605546,2424878076.759681,214648435.5523251,11053283.16421104,21000000.0,21000000.0,2026-06-25,4607489447.91,8.8509
