rank,name,symbol,slug,price_usd,change_1h_pct,change_24h_pct,change_7d_pct,market_cap_usd,volume_24h_usd,circulating_supply,total_supply,max_supply,date_snapshot,fdv_usd,liq_mkt_cap_pct
1,Bitcoin,BTC,bitcoin,80273.99443752904,-0.75936821,-1.01944271,3.99173854,1612448153111.7249,21443164048.655666,20086806.0,20086806.0,21000000.0,2026-09-20,1685753883188.11,1.3299
2,Ethereum,ETH,ethereum,2578.617030347268,-1.02465343,-1.55999616,2.34891063,314758227861.49524,10220958722.171316,122064744.06907414,122064744.06907414,,2026-09-20,314758227861.5,3.2472
3,Tether USDt,USDT,tether,0.9996458135996701,4.606e-05,-0.00095559,-0.01073364,183319697440.29648,60931899254.6263,183384649789.2811,189327421045.46777,,2026-09-20,189260363847.72,33.2381
4,BNB,BNB,bnb,749.5366545315331,-1.11809852,-1.27307996,3.03586478,99808522517.93086,1554877596.2193685,133160295.65,133160295.65,133160295.65,2026-09-20,99808522517.93,1.5579
5,XRP,XRP,xrp,1.376504630826308,-1.18958121,-2.40758633,0.93776296,86553523539.8477,3652326083.89047,62879209849.0,99985622230.0,100000000000.0,2026-09-20,137650463082.63,4.2197
6,USDC,USDC,usd-coin,0.9998775692656023,0.00585291,0.00755448,0.00212625,74238196733.30257,10128125919.972708,74247286883.1627,74247286883.1627,,2026-09-20,74238196733.3,13.6427
7,Solana,SOL,solana,108.2068193700392,-1.08680966,-4.44862782,6.26525184,63557134071.81543,3100191127.7471194,587367177.4277604,634375856.6058378,,2026-09-20,68651334535.87,4.8773
8,TRON,TRX,tron,0.33961311389931564,-0.15089866,0.23621872,-0.08605202,32249015397.357895,383039775.0231698,94958098134.33379,94958082248.4222,,2026-09-20,32249010002.29,1.1878
9,Zcash,ZEC,zcash,1453.716912346163,-0.39150494,-5.49683812,28.10648149,24535422340.203777,1307730184.9265292,16877716.7905448,16877716.7905448,21000000.0,2026-09-20,30527231032.41,5.3297
10,Hyperliquid,HYPE,hyperliquid,90.67412566226767,-0.57510409,-3.35868502,14.60483921,22801616823.096573,960021317.0140585,251467733.0115689,951583691.4417558,951583691.4417558,2026-09-20,86275719960.74,4.2108
11,Dogecoin,DOGE,dogecoin,0.08552653661271023,-1.29621345,-2.64589489,0.91356023,13341154991.857214,1181537111.4861195,155988486383.7052,155988486383.7052,,2026-09-20,13341154991.86,8.8563
12,Monero,XMR,monero,527.2451563432405,-2.22159486,-7.07258523,-2.59255855,9915884538.17099,134174056.57440336,18806971.32799391,18806971.32799391,,2026-09-20,9915402859.13,1.3535
13,Chainlink,LINK,chainlink,12.04292025203934,-1.26001378,-2.65425907,4.81586136,9009308284.379866,408896020.4638968,748099970.424884,1000000000.0,1000000000.0,2026-09-20,12043589650.31,4.5382
14,UNUS SED LEO,LEO,unus-sed-leo,8.900314532736129,0.13675454,0.15566375,-1.75996431,8187024207.317008,61741.29649528,919857851.9,985239504.0,,2026-09-20,8768886026.38,0.0008
15,Cardano,ADA,cardano,0.22146461055907962,-1.34819038,-4.78291203,6.98906212,8139472023.1809845,558752922.6240658,36752924102.10902,44994664304.52231,45000000000.0,2026-09-20,9966836483.05,6.8651
16,Stellar,XLM,stellar,0.19015307827302871,-1.35611986,-2.0718468,5.77696628,6630117645.244025,298859928.4505993,34867264340.17682,50001786839.70148,50001806812.0,2026-09-20,9510211700.89,4.5063
17,Uniswap,UNI,uniswap,8.667964606231793,-0.80294236,-3.82131717,36.68744318,5382202926.120148,1100666062.3306792,620930422.6104751,888178418.9163101,,2026-09-20,7699084525.36,20.4476
18,Bitcoin Cash,BCH,bitcoin-cash,245.294842250399,-0.66895318,-3.31422357,9.08727928,4928336723.795599,210168892.83511642,20091481.25,20091481.25,21000000.0,2026-09-20,5150934345.03,4.2562
19,Ethena USDe,USDe,ethena-usde,0.9997494752572503,0.00977143,0.00418457,-0.0054826,4844002542.185894,25203892.01153701,4845216388.775258,4845216388.775258,,2026-09-20,4843973360.59,0.5203
20,Dai,DAI,multi-collateral-dai,0.9996893872654071,-0.0082756,-0.00682412,-0.00144171,4599018484.334001,37282101.06818946,4600447441.894279,4600447441.894279,,2026-09-20,4598740372.63,0.8108
21,NEAR Protocol,NEAR,near-protocol,3.5131200269137115,-0.3746826,-7.37583065,49.82320628,4590891061.294423,1142154017.0025775,1306784575.0,1306784575.0,,2026-09-20,4591668115.6,24.8731
22,Litecoin,LTC,litecoin,57.075659962877026,-0.88482142,-2.65227884,6.47192341,4430760193.379531,328484766.5736228,77629591.95323142,84000000.0,84000000.0,2026-09-20,4794409948.54,7.4139
23,World Liberty Financial USD,USD1,usd1,0.9995412822434695,0.00367483,-0.00722064,-0.0215054,4332462945.63937,921785025.2978704,4334451235.385857,4334451235.385857,,2026-09-20,4332468201.03,21.2782
24,Avalanche,AVAX,avalanche,9.535891159726829,-0.72559073,12.77235489,28.69003007,4223240794.383255,1113072501.6724856,442878460.29738414,469547160.29738414,715748719.0,2026-09-20,6824851896.64,26.3583
25,Canton,CC,canton-network,0.10577820305265716,-1.53722829,-6.46376431,8.294707,4193050995.1891503,16586605.69690742,39640028608.74673,39640028608.74673,,2026-09-20,4193050995.19,0.3959
26,Gram (prev. Toncoin),GRAM,gram,1.3737247236391126,-0.75906649,-0.13517036,0.37262531,3844750092.5396905,71594894.80114129,2798777678.2197113,5252161997.765017,,2026-09-20,7215800294.23,1.8619
27,MemeCore,M,memecore,1.628116295778533,5.28249101,26.42505149,35.27459876,3704411150.774247,3028580.57331207,2275274291.142004,5416148717.760985,10000000000.0,2026-09-20,16304643405.08,0.0816
28,Hedera,HBAR,hedera,0.07997117310525047,-0.87979326,0.73398656,6.78984834,3505272980.1028395,121471091.0988307,43831706401.124466,50000000000.0,50000000000.0,2026-09-20,3999988709.38,3.4633
29,Sui,SUI,sui,0.8219875174155973,-3.06245233,-0.16643342,13.85224011,3367302399.085978,1042120829.3056558,4096537146.5409594,10000000000.0,10000000000.0,2026-09-20,8222138475.57,30.9421
30,Global Dollar,USDG,global-dollar-usdg,1.0004989040833103,0.01950497,0.03490681,0.01290885,3261201282.4769516,494680717.68924177,3259575067.166086,3259575067.166086,,2026-09-20,3260817846.58,15.1701
31,Shiba Inu,SHIB,shiba-inu,5.3697786529245634e-06,-1.3731995,-1.72946187,1.9289742,3164082882.2140584,97378534.05068508,589238977381459.0,589496070883844.8,589552695333683.0,2026-09-20,3165383137.91,3.0789
32,Bittensor,TAO,bittensor,252.51850760754883,-2.85723501,-2.0904112,7.79831703,2912071649.436329,344041636.4748857,11532111.75302097,21000000.0,21000000.0,2026-09-20,5301217758.53,11.8183
33,Cronos,CRO,cronos,0.058490522576933296,-1.64194174,-1.61543023,-2.4044219,2908860520.1495304,6920408.82503821,49732168426.49116,98932173548.38644,100000000000.0,2026-09-20,5848750306.11,0.2379
34,PayPal USD,PYUSD,paypal-usd,0.9996466954700871,-0.00017105,-0.01350298,-0.00364573,2801373892.390831,27186390.74258552,2802363980.2795286,2802363980.2795286,,2026-09-20,2801366673.59,0.9719
35,Tether Gold,XAUt,tether-gold,4366.82374648627,-0.06475833,-0.17102314,0.37796815,2719761146.317817,67012077.56870803,622823.659532,707747.089,,2026-09-20,3090633240.24,2.4645
36,OKB,OKB,okb,115.71358258021674,-0.68312958,-0.95362337,1.21730187,2429985234.1845517,64176268.48271853,21000000.0,21000000.0,21000000.0,2026-09-20,2429980451.47,2.6413
37,Ripple USD,RLUSD,ripple-usd,0.9997992831648232,0.02077937,-0.01041695,-0.0092354,2378519546.3282094,243196615.64512038,2378997051.0871987,2378997051.0871987,,2026-09-20,2378711110.33,10.2232
38,Aave,AAVE,aave,136.66153632441575,-2.18176851,-5.0299556,7.19524807,2108425268.7467103,270255171.11712664,15428081.12255959,16000000.0,,2026-09-20,2185890413.39,12.8396
39,Aster,ASTER,aster,0.7384806193191504,-1.73480686,-5.3260817,6.35389306,1995580739.5969882,140437722.7836217,2702279094.929849,7799908028.130118,8000000000.0,2026-09-20,5903346030.2,7.0507
40,Mantle,MNT,mantle,0.6040381553247047,-1.7903676,-2.64404226,8.8869562,1994711807.1666875,39330349.81450641,3302294382.53684,6219316794.889999,6219316795.0,2026-09-20,3754011692.6,1.9704
41,Ondo,ONDO,ondo-finance,0.404689935800042,-1.24245773,-0.4146473,16.67479024,1970569106.9236069,297885789.5999002,4869330647.0,10000000000.0,10000000000.0,2026-09-20,4047525456.93,15.1142
42,Ethena,ENA,ethena,0.19352295912260012,-5.251841,7.16927032,37.70893059,1953674748.267374,1046823509.8689457,10095312500.0,15000000000.0,15000000000.0,2026-09-20,2903817595.76,53.5681
43,PAX Gold,PAXG,pax-gold,4359.709951298984,-0.02280227,-0.15821273,0.09132117,1894291216.492893,62216083.8058179,434499.367539,434499.367539,,2026-09-20,1894265988.82,3.2844
44,Pump.fun,PUMP,pump-fun,0.003956833644527172,-2.78689189,-7.30441661,4.33043358,1849895476.2277334,137929264.81256926,467519143440.96454,833030963696.2357,1000000000000.0,2026-09-20,3956436659.85,7.4601
45,Polkadot,DOT,polkadot-new,1.083785001208634,-1.68523204,-4.7615868,7.28465726,1846323449.2971818,186784524.22971392,1703588301.404953,1703588301.404953,2100000000.0,2026-09-20,2275833658.71,10.1153
46,World Liberty Financial,WLFI,world-liberty-financial-wlfi,0.05771648605740728,-0.70963072,-1.45802646,1.35159426,1834079992.5752685,43410229.40661588,31777402227.0,100000000000.0,100000000000.0,2026-09-20,5772388636.12,2.366
47,Pepe,PEPE,pepe,3.963013301285981e-06,-0.97122363,5.40604039,14.96687514,1639785346.9973173,533231133.3276839,413772355107971.5,413772355107971.5,413772355107971.5,2026-09-20,1642582182.67,32.4938
48,Sky,SKY,sky,0.06799781617853275,-1.68957873,-2.8267784,7.74433927,1592384836.1528428,24784421.74647387,23418176136.303135,23459804203.605965,23462665147.0,2026-09-20,1593663247.43,1.5562
49,Internet Computer,ICP,internet-computer,2.7663809917375235,-1.59665471,-3.39944629,1.4517285,1540610433.9824991,65107913.11377224,556904648.5584996,556904648.5584996,,2026-09-20,1538637198.86,4.2309
50,USDD,USDD,usdd,0.996890094087317,0.02450496,-0.16130027,0.00305819,1531165571.2489114,5482489.23847125,1535942207.0,1535942207.0,,2026-09-20,1531862320.89,0.3597
51,Worldcoin,WLD,worldcoin-org,0.42293964776030735,-1.62642764,-1.52173573,6.9545112,1523207248.6741025,240291505.48640636,3601476609.583195,10000000000.0,,2026-09-20,4229091353.65,15.7782
52,Arbitrum,ARB,arbitrum,0.21248049933191382,3.24811639,0.11705039,51.89755345,1441802280.324354,340727689.17087954,6785574605.0,10000000000.0,,2026-09-20,2126760771.57,23.6295
53,United Stables,U,united-stables,0.9997363700205832,-0.00151571,-0.00176767,0.04109335,1392761737.2283487,119849212.78557996,1393129007.8,1393129007.8,,2026-09-20,1392824924.89,8.6123
54,Bitget Token,BGB,bitget-token-new,1.9830381410029292,-0.73662998,0.1582113,1.8191367,1384225122.1728814,11711355.83277495,698032525.7247974,910920874.6481038,919992035.98,2026-09-20,1824529719.73,0.8456
55,Morpho,MORPHO,morpho,2.5527080990333095,-2.79387637,-5.26203994,14.94214734,1348195434.1775558,60279699.89238349,528143203.9519547,999999999.8010328,1000000000.0,2026-09-20,2552455079.78,4.4633
56,Ethereum Classic,ETC,ethereum-classic,8.27441741411882,-2.15669564,0.05154154,8.97688659,1309211590.7333484,60486000.34075771,158224020.52130124,210700000.0,210700000.0,2026-09-20,1741906769.87,4.619
57,Venice Token,VVV,venice-token,26.458377505123593,0.23364008,-6.19408109,10.78510689,1279497862.299944,65188582.98997307,48358893.58870069,81011106.68730581,,2026-09-20,2143107372.2,5.0969
58,Lighter,LIT,lighter,4.622496995422548,-1.43836095,-5.40233871,9.69913238,1155624248.855637,87756638.0358147,250000000.0,1000000000.0,1000000000.0,2026-09-20,4624153390.18,7.5896
59,Polygon (prev. MATIC),POL,polygon-ecosystem-token,0.10355898771718783,-1.80169883,-3.07582386,7.57399176,1109902988.520283,124690127.23446399,10717592098.827272,10717592108.827272,,2026-09-20,1109825099.46,11.2354
60,GateToken,GT,gatetoken,10.180005771401829,-0.16257118,0.10467314,8.20047418,1085536507.4612672,3998383.26990765,106634174.07,140052780.28,142622843.67,2026-09-20,1448440887.5,0.368
61,Kaspa,KAS,kaspa,0.038338274768944594,-0.68612191,-1.47553825,9.05774144,1062370571.0199867,22268781.72508302,27710442825.678368,27710442825.678368,28704026601.0,2026-09-20,1099631751.64,2.0905
62,KuCoin Token,KCS,kucoin-token,7.165025211299298,-0.67894416,-0.99317118,3.67705322,982719185.3088304,8414302.5417705,137155021.2773955,142155021.2773955,200000000.0,2026-09-20,1433005042.26,0.8562
63,JUST,JST,just,0.11678513082448845,0.56426628,-0.22475279,6.63973624,956323426.7872885,43334387.74446888,8188743036.341737,8188743036.341737,,2026-09-20,957607933.4,4.4872
64,Pi,PI,pi,0.08355262736149145,-0.69912196,-2.94955281,-14.21165609,939383818.589605,5264538.52148663,11243019498.661,100000000000.0,100000000000.0,2026-09-20,8353675992.42,0.5605
65,Algorand,ALGO,algorand,0.10363162898994956,-1.39207054,7.19541821,12.43456395,937078701.4088767,98611790.1810246,9042400573.47508,10000000000.0,10000000000.0,2026-09-20,1034879568.16,10.5374
66,Cosmos,ATOM,cosmos,1.7015670116274826,-0.80773405,-2.95128263,6.28092016,904373540.4707425,41105286.00794786,531494519.046737,531494519.046737,,2026-09-20,904191688.3,4.546
67,Jupiter,JUP,jupiter-ag,0.27096683522362164,-2.56466202,-1.30891578,13.14910668,899438968.2468898,78633487.27057262,3319369204.37,6862435229.582892,6862435229.582892,2026-09-20,1857029360.63,8.7304
68,PancakeSwap,CAKE,pancakeswap,2.3089297774876125,-3.35821847,-4.25225457,4.29739285,846454139.1610906,56957006.27016079,366600209.07267797,378248721.8225635,400000000.0,2026-09-20,923688232.99,6.7295
69,Filecoin,FIL,filecoin,0.9563478440024529,-1.03409581,-1.83830965,18.59268598,794317676.1804937,354277571.21370363,830574023.0,1957039785.0,,2026-09-20,1872552378.74,44.5882
70,Render,RENDER,render,1.5314520489004684,-1.99605175,-2.77406935,11.30215519,794480937.6332617,47232489.98855601,518776241.2826915,533536414.5626915,644168762.0,2026-09-20,986006458.14,5.9389
71,Quant,QNT,quant,64.8269727350716,-0.83592259,2.1148621,1.00142207,782639057.1636628,6705945.74124513,12072738.0,14881364.0,14881364.0,2026-09-20,964741135.06,0.8563
72,Injective,INJ,injective,7.598039488792468,-4.29154712,11.42119274,29.16529151,759583260.0232751,304439029.3253447,99970954.5,100000000.0,,2026-09-20,758136758.78,40.1727
73,Dash,DASH,dash,56.84899461614273,-1.68173701,-7.83085197,4.11480601,729609807.2219663,122905857.52888525,12834172.56801913,12834172.56801913,18900000.0,2026-09-20,1072559306.09,16.8822
74,VeChain,VET,vechain,0.008376835958909106,-2.84014536,6.98793356,9.16808169,720282584.8597738,45288062.82176474,85985041177.0,85985041177.0,86712634466.0,2026-09-20,726741981.16,6.2865
75,ether.fi,ETHFI,ether-fi-ethfi,0.7160113131221041,-4.00229322,-1.8976196,4.41325709,691201521.1224232,54431351.76208537,965350000.0,1000000000.0,1000000000.0,2026-09-20,714732538.77,7.901
76,Aerodrome Finance,AERO,aerodrome-finance,0.6403122764507084,-3.09340476,-0.66344138,13.38245195,635606074.9838854,63466770.66749723,992650146.4365016,1983240735.5767915,,2026-09-20,1269871933.24,9.946
77,Aptos,APT,aptos,0.7166481961776611,-0.82350296,-5.57897109,20.58106103,623852155.6495188,189971005.71752748,870513815.5330853,1208954014.4431348,2100000000.0,2026-09-20,1504709583.31,30.4499
78,Stable,STABLE,stable,0.023491382274629935,-2.29658532,-7.31447953,-15.96070149,622011957.4892417,11982769.59931791,26478303840.0,100000000000.0,,2026-09-20,2348528574.47,1.9271
79,XDC Network,XDC,xdc-network,0.027795609303770237,-1.02022938,0.01056414,-0.53328313,596966319.6679273,8390317.08420239,21477000671.0,38096216470.05,,2026-09-20,1058919381.1,1.4066
80,Stacks,STX,stacks,0.31565691440744253,-2.73792597,10.39375172,14.67407148,572792863.9660953,57379338.59324441,1814605788.19049,1814570813.19049,,2026-09-20,574809500.02,10.0021
81,Flare,FLR,flare,0.006476695761853204,-0.86992952,-1.75563535,-0.11482039,562528450.5810285,3064143.75868689,86854234206.00351,106588101770.39777,,2026-09-20,690254714.14,0.5439
82,OFFICIAL TRUMP,TRUMP,official-trump,2.022837168451284,-2.56748835,-1.05844117,2.14128643,552509784.7464669,351050536.8891844,273136065.2076,999998944.919966,999998944.919966,2026-09-20,2022928331.64,63.4735
83,Nexo,NEXO,nexo,0.8371862407785977,-1.20120242,-0.76042249,0.33731365,540944406.4282612,5049344.01919604,646145839.5746847,1000000000.0,1000000000.0,2026-09-20,835941280.62,0.94
84,Curve DAO Token,CRV,curve-dao-token,0.32931799471770823,-2.40520243,-3.69192103,-2.1936589,513703526.1426568,52710150.94965221,1559901172.6735554,2419451810.999506,3030303030.299,2026-09-20,996050537.15,10.2915
85,币安人生,币安人生,bianrensheng,0.4985393000517372,-2.3609826,-3.44009584,5.79936219,498539300.0517372,3054186.76566566,1000000000.0,1000000000.0,1000000000.0,2026-09-20,497937337.91,0.6131
86,TrueUSD,TUSD,trueusd,0.999284175212353,-0.00386585,-0.00652918,0.00569171,494161096.8457233,12447421.96544519,494515083.0,494515083.0,,2026-09-20,494153578.53,2.5188
87,Pieverse,PIEVERSE,pieverse,1.6674979580564488,0.54494503,0.86856,36.43329717,492499223.757439,79516428.49352708,295352220.0,1000000000.0,1000000000.0,2026-09-20,1667745056.24,16.1394
88,Pudgy Penguins,PENGU,pudgy-penguins,0.007670706373052552,-2.42395092,-2.78080999,5.51612452,482183640.9004775,157605043.0823334,62860396090.04,76724221264.3,88888888888.0,2026-09-20,681586994.88,32.7187
89,Pyth Network,PYTH,pyth-network,0.05870486047342729,-2.153863,-4.44202548,6.42434248,462298444.52053297,22204682.98422097,7874960280.840664,9999981857.422035,10000000000.0,2026-09-20,585435879.42,4.8247
90,EURC,EURC,euro-coin,1.1493693029479097,-0.03050636,-0.04117005,-0.85885751,453502231.00851417,25490778.71092684,394566158.8885041,394566158.8885041,,2026-09-20,453543100.32,5.6218
91,Pendle,PENDLE,pendle,2.55890580836241,-2.53062883,-4.84185039,18.50830786,444170604.6551108,49202777.13185447,173578333.05297038,281527448.45853144,,2026-09-20,719504027.88,11.0817
92,Raydium,RAY,raydium,1.6113218919427603,-4.12735363,-6.23855426,9.45550235,434635920.37685895,93591896.74904501,269738729.766044,554997475.102263,555000000.0,2026-09-20,893771537.6,21.527
93,SPX6900,SPX,spx6900,0.46418297407303394,-3.53225444,-5.33552933,-5.18617575,432151141.39013654,10057030.31597759,930993090.07,930993090.07,1000000000.0,2026-09-20,463934332.96,2.3209
94,Virtuals Protocol,VIRTUAL,virtual-protocol,0.6518107706220532,-2.17317714,-3.03528818,6.0199052,429534725.6703899,83229719.15086257,658986848.683806,1000000000.0,1000000000.0,2026-09-20,651619548.01,19.3833
95,Midnight,NIGHT,midnight-network,0.024439308741746338,-0.629963,-1.87315112,17.67657425,405873361.3585322,19335454.58657731,16607399401.0,24000000000.0,24000000000.0,2026-09-20,586365774.42,4.7638
96,LayerZero,ZRO,layerzero,1.0778643189587878,-2.18299272,-6.12161254,6.1570401,404955126.97573364,52796349.53990731,375701393.8145003,1000000000.0,1000000000.0,2026-09-20,1076475870.38,13.0558
97,Falcon Finance,FF,falcon-finance-ff,0.12860589803878178,-0.38052593,1.53107247,-14.11083019,403822519.84177476,8332759.80289129,3140000000.0,10000000000.0,10000000000.0,2026-09-20,1286051820.13,2.0637
98,Pons,PONS,pons,0.5831876382983381,-0.41562313,-16.02764311,0.24420037,399992343.4744507,85271683.79788034,685872465.7497436,685872465.7497436,685872465.7497436,2026-09-20,398645108.8,21.4197
99,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance,0.17140305494593464,-1.83440257,-5.5878232,2.61063522,396199615.7006127,175982243.69924226,2311508484.055814,2714384546.672,2719493897.0,2026-09-20,466095421.74,44.4116
100,Celestia,TIA,celestia,0.4216360867215774,-0.61438938,3.41114388,21.62069966,387876948.74196917,42191831.08237597,919932996.62251,1168685161.483695,,2026-09-20,493345068.6,10.8929
101,Tezos,XTZ,tezos,0.3436386807226779,-1.66914876,6.54983515,27.82360361,376834817.8958312,159625347.70585722,1096601864.211972,1116582931.124794,,2026-09-20,383137273.44,42.3823
102,Sei,SEI,sei,0.04799385942426712,-1.95848765,-0.36965263,7.72221682,363786788.61680317,60455762.02424254,7579861111.0,10000000000.0,10000000000.0,2026-09-20,479772116.36,16.635
103,Lido DAO,LDO,lido-dao,0.41496694255609323,-1.1196719,4.44417325,12.48196762,346145224.0739697,62728319.29498345,834151322.8543006,1000000000.0,,2026-09-20,414391045.92,18.155
104,Bitcoin SV,BSV,bitcoin-sv,17.033734604993015,-1.16243604,-1.98074452,0.86639215,342139912.6584135,9350200.92750955,20086018.75,20086018.75,,2026-09-20,341822015.5,2.7391
105,Sun [New],SUN,sun-token,0.017029696342643025,-0.98206737,0.12271901,0.23155885,327347922.322081,17046745.7323102,19222181989.37517,19222181989.37517,19900730000.0,2026-09-20,338934549.19,5.1927
106,BitTorrent [New],BTT,bittorrent-new,3.2918688912938046e-07,-0.94285615,-0.81409485,0.17975365,324919931.0927323,6898728.7850924,987037885840674.8,987037885840674.8,,2026-09-20,324906909.54,2.1224
107,First Digital USD,FDUSD,first-digital-usd,0.9987085942488431,-0.00730136,-0.07478775,0.0165747,324622835.97949,201276057.22516432,325042597.859737,325042597.859737,,2026-09-20,324605273.84,62.0488
